description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Applesauce, flavored",15.48,60.18,0.14,0.15
Apple pie filling,10.04,38.46,0.04,0.04
"Apple, baked",10.81,53.81,0.15,1.47
"Apricot, raw",31.77,137.14,4.0,1.11
"Apricot, canned",76.94,316.67,3.61,0.94
"Avocado, raw",56.87,1066.67,13.33,97.73
"Banana, raw",18.02,76.98,0.59,0.22
"Banana, fried",23.16,115.0,0.59,2.29
"Cantaloupe, raw",54.4,253.33,5.47,1.2
"Starfruit, raw",7.48,34.44,1.16,0.37
"Cherries, maraschino",839.4,3300.0,4.4,4.2
Cherry pie filling,11.0,46.92,0.23,0.35
"Cherries, raw",228.71,900.0,15.14,2.86
"Cherries, canned",268.43,1057.14,10.14,2.0
"Cherries, frozen",228.71,900.0,15.14,2.86
Dragon fruit,20.31,76.0,0.48,0.19
"Fig, raw",38.36,148.0,1.5,0.6
"Fig, canned",69.14,271.43,2.0,0.86
"Grapes, raw",258.57,985.71,10.29,2.29
"Guava, raw",26.04,123.64,4.64,1.73
"Kiwi fruit, raw",18.67,85.33,1.41,0.59
Lychee,165.3,660.0,8.3,4.4
"Honeydew melon, raw",60.6,240.0,3.6,0.93
"Mango, raw",59.92,240.0,3.28,1.52
"Mango, canned",64.88,260.0,2.48,1.2
"Mango, frozen",59.92,240.0,3.28,1.52
"Nectarine, raw",6.56,30.71,0.76,0.2
"Papaya, raw",27.05,107.5,1.18,0.65
"Papaya, canned",32.75,130.0,0.88,0.52
"Passion fruit, raw",129.89,538.89,12.22,3.89
"Peach, raw",6.73,30.67,0.61,0.18
"Peach, canned, NFS",59.7,240.0,2.15,0.45
"Peach, canned, in syrup",67.95,270.0,2.0,0.4
"Peach, canned, juice pack",51.5,205.0,2.25,0.5
"Peach, frozen",50.5,230.0,4.55,1.35
"Pear, raw",8.43,32.78,0.21,0.08
"Pear, Asian, raw",3.87,15.27,0.18,0.08
"Pear, canned, NFS",53.88,208.0,0.8,0.24
"Pear, canned, in syrup",60.6,236.0,0.72,0.2
"Pear, canned, juice pack",47.16,180.0,0.92,0.28
"Persimmon, raw",10.94,41.18,0.34,0.11
"Pineapple, raw",23.43,89.29,0.96,0.21
"Pineapple, canned, NFS",92.73,366.67,2.8,0.8
"Pineapple, canned, in syrup",104.0,413.33,2.67,0.73
"Pineapple, canned, juice pack",81.47,320.0,2.93,0.8
"Pineapple, frozen",87.47,333.33,3.6,0.8
"Plum, raw",15.23,61.33,0.93,0.37
"Plum, canned",18.05,73.33,0.69,0.31
"Pomegranate, raw",7.48,33.2,0.67,0.47
Rhubarb,7.27,30.42,0.34,0.09
Tamarind,3125.0,11950.0,140.0,30.0
"Watermelon, raw",50.33,200.0,4.07,1.0
"Berries, NFS",6.46,28.0,0.45,0.17
"Blackberries, raw",192.2,860.0,27.8,9.8
"Blackberries, frozen",313.4,1280.0,23.6,8.6
"Blueberries, raw",724.5,2850.0,37.0,16.5
"Bluberries, canned",9.06,35.2,0.42,0.16
"Blueberries, frozen",608.5,2550.0,21.0,32.0
Blueberry pie filling,17.07,69.62,0.16,0.08
"Cranberries, raw",598.5,2300.0,23.0,6.5
Cranberry sauce,80.8,318.0,1.8,0.3
"Raspberries, raw",597.0,2600.0,60.0,32.5
"Raspberries, frozen",597.0,2600.0,60.0,32.5
"Strawberries, raw",42.39,194.44,3.56,1.22
"Strawberries, canned",9.41,36.8,0.22,0.1
"Strawberries, frozen",50.72,194.44,2.39,0.61
Ambrosia,8.39,37.31,0.43,0.5
"Fruit salad, fresh or raw,  excluding citrus fruits, no dressing",9.13,38.0,0.41,0.14
"Fruit salad, fresh or raw, including citrus fruits, no dressing",8.85,36.67,0.46,0.13
"Fruit cocktail, canned, NFS",12.48,48.67,0.36,0.07
"Fruit cocktail, canned, in syrup",13.98,54.87,0.35,0.06
"Fruit cocktail, canned, juice pack",10.98,42.48,0.38,0.08
"Fruit mixture, frozen",7.4,30.67,0.47,0.14
Apple salad with dressing,8.87,125.55,1.08,10.16
"Apple, candied",9.25,41.88,0.42,0.67
"Fruit, chocolate covered",49.65,330.0,3.52,16.73
"Fruit salad, excluding citrus fruits, with salad dressing or mayonnaise",7.14,126.06,0.97,10.79
"Fruit salad, excluding citrus fruits, with whipped cream",8.23,83.52,1.18,5.63
"Fruit salad, excluding citrus fruits, with nondairy whipped topping",9.77,81.14,1.14,4.7
"Fruit salad, excluding citrus fruits, with marshmallows",10.18,140.94,1.07,11.18
"Fruit salad, including citrus fruits, with pudding",9.64,68.68,1.09,3.29
"Fruit salad, excluding citrus fruits, with pudding",9.87,69.78,1.05,3.35
"Fruit salad, including citrus fruits, with salad dressing or mayonnaise",6.96,123.4,1.01,10.58
"Fruit salad, including citrus fruit, with whipped cream",8.01,81.87,1.21,5.51
"Fruit salad, including citrus fruits, with nondairy whipped topping",9.51,79.43,1.18,4.59
"Fruit salad, including citrus fruits, with marshmallows",9.95,138.6,1.11,10.97
Lime souffle,33.31,267.5,7.27,12.38
"Guacamole, NFS",56.33,1033.33,13.0,94.53
Guacamole with tomatoes,53.93,966.67,12.47,87.27
Chutney,378.75,1537.5,2.06,0.38
Pineapple salad with dressing,6.47,52.17,0.32,3.1
"Soup, fruit",2.89,11.98,0.22,0.05
Frozen fruit juice bar,31.75,132.5,1.01,0.08
"Frozen fruit juice bar, no sugar added",9.19,37.5,0.15,0.01
Sorbet,13.56,55.0,0.4,0.02
"Fruit juice, NFS",39.03,164.52,0.94,0.84
"Fruit juice blend, 100% juice",40.19,161.29,0.52,0.39
"Cranberry juice blend, 100% juice",36.0,148.39,0.39,0.58
"Cranberry juice blend, 100% juice, with calcium added",35.19,145.16,0.87,0.39
Apple cider,4.56,18.55,0.04,0.05
"Apple juice, 100%",36.58,154.84,0.29,0.81
"Apple juice, 100%, with calcium added",37.06,154.84,0.39,0.55
"Blackberry juice, 100%",3.15,15.32,0.12,0.24
Blueberry juice,30.39,119.35,1.55,0.68
"Cranberry juice, 100%, not a blend",2.93,12.9,0.0,0.14
"Grape juice, 100%",50.74,212.9,0.58,0.9
"Grape juice, 100%, with calcium added",47.65,200.0,1.19,0.42
"Papaya juice, 100%",5.85,22.98,0.07,0.06
"Passion fruit juice, 100%",5.48,20.56,0.16,0.02
"Pineapple juice, 100%",41.52,170.97,1.16,0.39
"Pomegranate juice, 100%",5.29,21.77,0.06,0.12
"Prune juice, 100%",7.04,28.63,0.25,0.01
"Strawberry juice, 100%",3.25,15.83,0.12,0.25
"Watermelon juice, 100%",3.15,12.5,0.25,0.06
"Fruit smoothie, with whole fruit, no dairy",46.93,200.0,2.26,1.3
"Fruit smoothie, with whole fruit, no dairy, added protein",45.19,281.48,23.07,1.63
"Fruit smoothie, with whole fruit, non-dairy",42.89,222.22,5.37,3.67
"Fruit smoothie juice drink, no dairy",44.0,188.89,2.22,0.89
"Fruit smoothie, light",35.96,196.3,9.67,2.26
"Fruit smoothie, bottled",37.61,161.29,1.55,0.87
"Fruit nectar, NFS",5.29,20.56,0.04,0.02
Apricot nectar,5.5,22.58,0.07,0.18
Banana nectar,7.26,29.84,0.1,0.05
Cantaloupe nectar,6.31,26.21,0.13,0.04
Guava nectar,5.36,19.35,0.12,0.03
Mango nectar,5.29,20.56,0.04,0.02
Peach nectar,4.68,19.76,0.04,0.23
Papaya nectar,5.85,22.98,0.07,0.06
Passion fruit nectar,7.01,27.82,0.06,0.02
Pear nectar,6.35,24.19,0.04,0.0
"Soursop, nectar",6.02,23.79,0.04,0.07
Vinegar,6.2,140.0,0.0,0.0
"Baby Toddler fruit, NFS",109.6,453.33,4.53,1.4
"Baby Toddler multiple fruit, Stage 2",109.6,453.33,4.53,1.4
"Baby Toddler multiple fruit, Stage 3",109.6,453.33,4.53,1.4
"Baby Toddler fruit, with grain",119.73,520.0,7.13,2.73
"Baby Toddler fruit, with yogurt",86.73,466.67,11.6,9.07
"Baby Toddler fruit and vegetables, Stage 2",91.27,393.33,6.53,1.53
"Baby Toddler fruit and vegetables, Stage 3",91.27,393.33,6.53,1.53
"Baby Toddler fruit and vegetables, with grain",102.07,460.0,9.87,3.2
"Baby Toddler fruit and vegetables, with yogurt",73.0,413.33,13.07,9.2
"Baby Toddler fruit, vegetables, and meat",94.27,500.0,17.53,7.07
Baby Toddler fruit and meat,109.6,546.67,15.07,6.6
"Baby Toddler apples, Stage 1",72.0,273.33,1.33,1.33
"Baby Toddler apples, Stage 2",68.67,246.67,0.0,0.0
"Baby Toddler bananas, Stage 1",142.27,606.67,6.67,1.33
"Baby Toddler bananas, Stage 2",142.27,606.67,6.67,1.33
"Baby Toddler peaches, Stage 1",96.53,433.33,6.27,2.2
"Baby Toddler peaches, Stage 2",96.53,433.33,6.27,2.2
"Baby Toddler pears, Stage 1",72.0,280.0,2.0,1.33
"Baby Toddler pears, Stage 2",77.33,293.33,2.0,0.67
Baby Toddler prunes,156.8,666.67,6.67,1.33
Baby Toddler mangoes,99.87,400.0,5.47,2.53
"Baby Toddler juice, NFS",37.74,151.61,0.0,0.32
"Baby Toddler juice, apple",37.74,151.61,0.0,0.32
"Baby Toddler juice, grape",49.61,200.0,0.0,0.0
"Baby Toddler juice, mixed fruit",37.74,151.61,0.0,0.32
"Baby Toddler juice, pear",38.26,138.71,0.0,0.0
"Baby Toddler juice, fruit and vegetable",36.77,151.61,0.97,0.32
"Baby Toddler juice, fruit and yogurt blend",40.1,206.45,4.68,3.58
Baby Toddler pudding,117.2,573.33,11.73,6.53
Baby Toddler yogurt melts,14364.0,76000.0,2858.0,800.0
"Potato, NFS",34.08,210.0,3.12,7.08
"Potato, baked, NFS",9.33,40.43,0.85,0.04
"Potato, baked, peel not eaten",9.33,40.43,0.85,0.04
"Potato, boiled, NFS",34.08,210.0,3.12,7.08
"Potato, boiled, ready-to-heat",34.08,210.0,3.12,7.08
"Potato, boiled, from fresh, peel not eaten, NS as to fat",34.08,210.0,3.12,7.08
"Potato, boiled, from fresh, peel not eaten, no added fat",35.77,155.0,3.25,0.17
"Potato, boiled, from fresh, peel not eaten, fat added, NS as to fat type",34.08,210.0,3.12,7.08
"Potato, boiled, from fresh, peel not eaten, made with oil",34.08,218.33,3.1,8.07
"Potato, boiled, from fresh, peel not eaten, made with butter",34.08,205.0,3.17,6.65
"Potato, boiled, from fresh, peel not eaten, made with margarine",34.13,193.33,3.12,5.3
"Potato, boiled, from fresh, peel eaten, NS as to fat",33.47,210.0,3.98,7.13
"Potato, boiled, from fresh, peel eaten, fat added, NS as to fat type",33.47,210.0,3.98,7.13
"Potato, boiled, from fresh,  peel eaten, no added fat",35.12,155.0,4.15,0.22
"Potato, boiled, from fresh, peel eaten, made with oil",33.45,218.33,3.95,8.12
"Potato, boiled, from fresh, peel eaten, made with butter",33.45,205.0,4.02,6.7
"Potato, boiled, from fresh, peel eaten, made with margarine",33.5,193.33,3.97,5.35
"Potato, canned, NS as to fat",36.89,268.57,3.83,12.43
"Potato, canned, fat added, NS as to fat type",36.89,268.57,3.83,12.43
"Potato, canned, no added fat",38.71,171.43,3.97,0.57
"Potato, roasted, NFS",34.08,210.0,3.12,7.08
"Potato, roasted, from fresh, peel eaten, NS as to fat",33.47,210.0,3.98,7.13
"Potato, roasted, from fresh, peel eaten, no added fat",35.12,155.0,4.15,0.22
"Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type",33.47,210.0,3.98,7.13
"Potato, roasted, from fresh, peel eaten, made with oil",33.45,218.33,3.95,8.12
"Potato, roasted, from fresh, peel eaten, made with butter",33.45,205.0,4.02,6.7
"Potato, roasted, from fresh, peel eaten, made with margarine",33.5,193.33,3.97,5.35
"Potato, roasted, from fresh, peel not eaten, NS as to fat",34.08,210.0,3.12,7.08
"Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type",34.08,210.0,3.12,7.08
"Potato, roasted, from fresh, peel not eaten, no added fat",35.77,155.0,3.25,0.17
"Potato, roasted, from fresh, peel not eaten, made with oil",34.08,218.33,3.1,8.07
"Potato, roasted, from fresh, peel not eaten, made with butter",34.08,205.0,3.17,6.65
"Potato, roasted, from fresh, peel not eaten, made with margarine",34.13,193.33,3.12,5.3
"Potato, roasted, ready-to-heat",34.08,210.0,3.12,7.08
"Stewed potatoes, Puerto Rican style",15.24,93.5,1.71,3.02
"Potato only from Puerto Rican mixed dishes, gravy and other components reported separately",20.51,87.63,1.75,0.1
"Potato from Puerto Rican style stuffed pot roast, with gravy",14.03,71.84,2.39,0.9
"Potato from Puerto Rican beef stew, with gravy",11.84,60.66,2.02,0.76
"Potato from Puerto Rican chicken fricassee, with sauce",11.89,58.54,1.09,0.83
"Potato chips, NFS",2691.5,26600.0,319.5,1699.0
"Potato chips, plain",2691.5,26600.0,319.5,1699.0
"Potato chips, barbecue flavored",2796.0,24350.0,325.5,1553.0
"Potato chips, sour cream and onion flavored",2796.0,24350.0,325.5,1553.0
"Potato chips, cheese flavored",2796.0,24350.0,325.5,1553.0
"Potato chips, other flavored",2796.0,24350.0,325.5,1553.0
"Potato chips, ruffled, plain",2153.2,21280.0,255.6,1359.2
"Potato chips, ruffled, barbecue flavored",2236.8,19480.0,260.4,1242.4
"Potato chips, ruffled, sour cream and onion flavored",2236.8,19480.0,260.4,1242.4
"Potato chips, ruffled, cheese flavored",2236.8,19480.0,260.4,1242.4
"Potato chips, ruffled, other flavored",2236.8,19480.0,260.4,1242.4
"Potato chips, restructured, plain",2760.5,27150.0,230.5,1758.5
"Potato chips, restructured, flavored",2752.5,27100.0,229.5,1753.5
"Potato chips, baked, plain",3570.0,23450.0,250.0,910.0
"Potato chips, baked, flavored",3552.0,23350.0,248.5,905.5
"Potato chips, reduced fat",3356.5,24100.0,351.5,1029.5
"Potato chips, restructured, reduced fat, lightly salted",3238.0,25100.0,228.0,1307.0
"Potato chips, unsalted",2983.0,26850.0,312.5,1515.0
"Potato chips, lightly salted",2671.5,27950.0,335.5,1766.0
"Potato chips, restructured, lightly salted",2671.5,27950.0,335.5,1766.0
"Potato chips, popped, plain",7140.0,46900.0,500.0,1820.0
"Potato chips, popped, flavored",7104.0,46700.0,497.0,1811.0
"Potato chips, popped, NFS",7140.0,46900.0,500.0,1820.0
"Potato sticks, plain",1776.67,17400.0,223.33,1146.67
"Potato sticks, flavored",1759.0,17233.33,221.0,1135.33
"Potato sticks, fry shaped",1759.0,17233.33,221.0,1135.33
Vegetable chips,2960.0,24750.0,236.0,1328.0
"Potato, scalloped, NFS",5.4,67.2,2.85,3.85
"Potato, scalloped, from fast food or restaurant",5.2,82.4,2.66,5.74
"Potato, scalloped, from fresh",5.4,67.2,2.85,3.85
"Potato, scalloped, from fresh, with meat",5.15,69.2,2.98,4.14
"Potato, scalloped, from dry mix",5.42,67.6,2.76,3.92
"Potato, scalloped, from dry mix, with meat",5.25,66.8,2.92,3.84
"Potato, scalloped, ready-to-heat",5.32,71.2,2.72,4.39
"Potato, scalloped, ready-to-heat, with meat",5.1,73.2,2.84,4.63
"Potato, french fries, NFS",464.6,4500.0,50.0,281.4
"Potato, french fries, NS as to fresh or frozen",464.6,4500.0,50.0,281.4
"Potato, french fries, from fresh, fried",370.0,3960.0,38.6,262.0
"Potato, french fries, from fresh, baked",386.8,3320.0,40.4,183.2
"Potato, french fries, from frozen, baked",511.0,3160.0,55.0,109.6
"Potato, french fries, fast food",59.2,445.71,4.9,21.04
"Potato, french fries, restaurant",53.14,412.86,4.99,20.06
"Potato, french fries, from frozen, fried",464.6,4500.0,50.0,281.4
"Potato, french fries, school",386.8,3320.0,40.4,183.2
"Potato, french fries, with cheese, fast food / restaurant",27.78,242.99,3.16,13.22
"Potato, french fries, with cheese, school",160.64,1645.45,41.36,93.55
"Potato, french fries, with chili, fast food / restaurant",394.75,3012.5,53.12,135.12
"Potato, french fries, with chili and cheese, fast food / restaurant",254.3,2200.0,40.1,114.0
"Potato, french fries, with cheese",371.5,3250.0,42.25,176.88
"Potato, french fries, with chili and cheese",254.3,2200.0,40.1,114.0
"Potato, french fries, with chili",394.75,3012.5,53.12,135.12
"Potato, home fries, NFS",9.2,98.5,0.96,6.52
"Potato, home fries, from restaurant / fast food",8.96,106.5,0.94,7.6
"Potato, home fries, from fresh",9.38,92.5,0.98,5.76
"Potato, home fries, ready-to-heat",9.2,98.5,0.96,6.52
"Potato, home fries, with vegetables",7.8,86.5,0.86,5.88
"Potato, hash brown, NFS",51.33,394.55,4.76,20.87
"Potato, hash brown, from fast food",52.51,494.55,4.69,30.98
"Potato, hash brown, from fast food, with cheese",44.49,536.36,10.96,36.13
"Potato, hash brown, from restaurant",52.51,494.55,4.69,30.98
"Potato, hash brown, from restaurant, with cheese",44.49,536.36,10.96,36.13
"Potato, hash brown, from school lunch",51.64,396.36,4.8,20.98
"Potato, hash brown, from fresh",11.61,118.75,1.21,7.67
"Potato, hash brown, from fresh, with cheese",10.11,139.38,3.19,9.68
"Potato, hash brown, from dry mix",17.64,135.62,1.64,7.18
"Potato, hash brown, ready-to-heat",51.33,394.55,4.76,20.87
"Potato, hash brown, ready-to-heat, with cheese",43.56,452.73,10.98,27.64
Potato skins without topping,78.12,604.0,8.48,29.8
"Potato skins, with cheese",46.69,568.57,17.34,35.43
"Potato skins, with cheese and bacon",44.34,614.29,21.83,39.09
"Potato skins, NFS",65.36,796.0,24.28,49.6
"Potato, mashed, NFS",7.04,45.6,0.86,1.63
"Potato, mashed, from fast food",5.86,35.6,0.66,1.13
"Potato, mashed, from fast food, with gravy",5.11,32.4,0.58,1.11
"Potato, mashed, ready-to-heat",5.32,42.4,0.79,2.0
"Potato, mashed, from fresh, made with milk",7.04,45.6,0.86,1.63
"Potato, mashed, from fresh, made with milk, with cheese",6.39,58.0,1.76,2.91
"Potato, mashed, from fresh, made with milk, with gravy",6.06,40.0,0.74,1.51
"Potato, mashed, from fresh, NFS",7.04,45.6,0.86,1.63
"Potato, mashed, from restaurant",6.71,55.2,0.83,2.89
"Potato, mashed, from restaurant, with gravy",5.79,48.0,0.72,2.52
"Potato, mashed, from school lunch",5.28,30.8,0.86,0.76
"Potato, mashed, from dry mix, NFS",5.05,46.8,0.82,2.68
"Potato, mashed, from dry mix, made with milk",5.05,46.8,0.82,2.68
"Potato, mashed, from dry mix, made with milk, with cheese",4.62,59.2,1.73,3.85
"Potato, mashed, from dry mix, made with milk, with gravy",4.46,41.2,0.71,2.35
"Potato, mashed, ready-to-heat, NFS",5.32,42.4,0.79,2.0
"Potato, mashed, ready-to-heat, with cheese",4.85,55.2,1.7,3.25
"Potato, mashed, ready-to-heat, with gravy",4.68,37.6,0.69,1.81
Potato patty,24.53,310.91,7.07,20.58
"Potato tots, NFS",18.77,182.31,1.46,11.89
"Potato tots, fast food / restaurant",18.7,181.54,1.45,11.85
"Potato tots, school",14.88,127.69,1.55,7.05
"Potato tots, from fresh, fried or baked",18.77,182.31,1.46,11.89
"Potato tots, frozen, baked",20.08,143.85,1.56,7.05
"Potato tots, frozen, fried",18.77,182.31,1.46,11.89
"Potato tots, frozen, NS as to fried or baked",18.77,182.31,1.46,11.89
"Potato, baked, peel not eaten, with butter",7.84,48.08,0.73,1.61
"Potato, baked, peel not eaten, with sour cream",7.29,50.77,0.75,2.14
"Potato, baked, peel not eaten, with cheese",6.8,58.85,1.39,2.99
"Potato, baked, peel not eaten, with meat",6.66,61.54,1.64,3.22
"Potato, baked, peel not eaten, with chili",6.91,55.0,1.55,2.39
"Potato, baked, peel not eaten, with vegetables",6.96,54.62,1.42,2.44
"Potato, baked, peel eaten",9.15,40.43,1.08,0.06
"Potato, baked, peel eaten, with butter",7.7,48.08,0.93,1.62
"Potato, baked, peel eaten, with sour cream",5.91,41.9,0.77,1.77
"Potato, baked, peel eaten, with cheese",5.51,48.57,1.28,2.48
"Potato, baked, peel eaten, with meat",6.55,61.54,1.8,3.23
"Potato, baked, peel eaten, with chili",5.61,45.4,1.41,1.98
"Potato, baked, peel eaten, with vegetables",6.83,54.62,1.58,2.45
"Potato salad with egg, from restaurant",5.59,63.64,1.11,4.13
"Potato salad with egg, made with mayonnaise",5.88,57.09,0.71,3.42
"Potato salad with egg, made with light mayonnaise",5.5,40.36,0.99,1.62
"Potato salad with egg, made with mayonnaise-type salad dressing",5.78,40.73,1.01,1.57
"Potato salad with egg, made with light mayonnaise-type salad dressing",5.5,40.36,0.99,1.62
"Potato salad with egg, made with creamy dressing",5.41,51.64,1.07,2.88
"Potato salad with egg, made with light creamy dressing",5.46,37.09,1.08,1.26
"Potato salad with egg, made with Italian dressing",5.75,41.09,1.02,1.61
"Potato salad with egg, made with light Italian dressing",5.63,34.18,1.02,0.85
"Potato salad with egg, made with any type of fat free dressing",5.81,32.36,0.97,0.63
"Potato salad, German style",9.81,61.71,1.67,1.84
"Potato salad, from restaurant",6.3,64.73,0.63,4.16
"Potato salad, made with mayonnaise",5.75,61.09,0.55,4.05
"Potato salad, made with light mayonnaise",6.17,38.18,0.52,1.33
"Potato salad, made with mayonnaise-type salad dressing",6.49,38.91,0.53,1.27
"Potato salad, made with light mayonnaise-type salad dressing",6.17,38.18,0.52,1.33
"Potato salad, made with creamy dressing",6.11,50.91,0.58,2.74
"Potato salad, made with light creamy dressing",6.16,34.55,0.59,0.9
"Potato salad, made with Italian dressing",6.49,39.27,0.52,1.29
"Potato salad, made with light Italian dressing",6.36,30.91,0.52,0.44
"Potato salad, made with any type of fat free dressing",6.52,29.45,0.5,0.21
Potato pancake,206.4,1960.0,44.7,108.0
Lefse,45.49,272.5,5.46,7.92
Stewed potatoes,7.96,45.6,0.74,1.29
Stewed potatoes with tomatoes,6.16,37.6,0.64,1.27
"Potato soup, NS as to made with milk or water",3.14,20.49,0.66,0.61
"Potato soup, cream of, prepared with milk",3.55,25.4,0.98,0.81
"Potato soup, prepared with water",2.66,15.57,0.32,0.39
Potato and cheese soup,3.44,29.84,1.11,1.37
Potato chowder,3.46,36.69,1.58,1.89
"Plantain soup, Puerto Rican style",2.92,16.33,0.95,0.19
"Plantain, cooked, no added fat",127.2,488.0,5.2,1.4
"Plantain, cooked with oil",123.48,576.0,5.04,12.96
"Ripe plantain, raw",17.72,67.78,0.72,0.19
"Plantain, cooked, fat added, NS as to fat type",123.52,564.0,5.08,11.52
"Plantain, cooked with butter or margarine",123.52,552.0,5.08,10.12
Plantain chips,225.19,1873.02,8.04,104.37
"Green banana, cooked in salt water",35.33,135.56,1.44,0.39
"Green banana, fried",34.3,160.0,1.4,3.6
"Cassava, cooked",24.76,119.38,0.89,1.89
Yuca fries,24.8,192.14,0.89,9.96
"Casabe, cassava bread",71.22,299.0,2.54,0.52
"Dasheen, cooked",17.22,88.12,0.98,1.84
"Taro, cooked",17.22,88.12,0.98,1.84
Fufu,14.0,69.17,0.62,1.25
Taro chips,296.09,2165.22,10.0,108.26
"Beet greens, raw",11.39,57.89,5.79,0.34
"Beet greens, cooked",3.01,32.0,1.53,1.91
"Broccoli raab, raw",7.12,55.0,7.92,1.23
"Broccoli raab, cooked",1.69,27.06,1.88,1.85
"Chard, raw",10.39,52.78,5.0,0.56
"Chard, cooked",2.6,29.33,1.25,1.97
"Collards, raw",15.06,88.89,8.39,1.69
"Collards, fresh, cooked, no added fat",4.47,26.15,2.49,0.5
"Collards, frozen, cooked, no added fat",4.16,21.18,1.74,0.24
"Collards, canned, cooked, no added fat",1.64,11.18,0.79,0.18
"Collards, NS as to form, cooked",4.19,42.96,2.33,2.5
"Collards, fresh, cooked, fat added, NS as to fat type",4.19,42.96,2.33,2.5
"Collards, frozen, cooked, fat added, NS as to fat type",3.93,33.14,1.65,1.68
"Collards, fresh, cooked with oil",4.18,45.19,2.33,2.79
"Collards, fresh, cooked with butter or margarine",4.19,40.0,2.34,2.21
"Collards, frozen, cooked with oil",3.93,34.86,1.65,1.89
"Collards, frozen, cooked with butter or margarine",3.93,31.43,1.65,1.47
"Collards, canned, cooked with oil",1.55,25.14,0.75,1.82
"Collards, canned, cooked with butter or margarine",1.55,21.71,0.76,1.41
"Cress, raw",11.0,64.0,5.2,1.4
"Cress, cooked",4.09,41.43,1.94,2.48
"Dandelion greens, raw",16.73,81.82,4.91,1.27
"Dandelion greens, cooked",8.71,64.55,2.56,3.15
"Romaine lettuce, raw",22.08,115.38,10.46,1.15
"Caesar salad, with romaine, no dressing",8.58,96.2,5.35,4.52
"Escarole, cooked",2.21,27.41,0.83,2.01
"Greens, fresh, cooked, no added fat",3.97,28.46,2.28,0.75
"Greens, frozen, cooked, no added fat",3.38,21.76,1.72,0.42
"Greens, NS as to form, cooked",3.72,42.96,2.14,2.52
"Greens, fresh, cooked, fat added",3.72,42.96,2.14,2.52
"Greens, frozen, cooked, fat added",3.19,33.71,1.62,1.85
"Greens, canned, cooked, fat added",1.55,23.43,0.75,1.61
"Kale, raw",44.2,430.0,29.2,14.9
"Kale, fresh, cooked, no added fat",3.65,35.38,2.41,1.23
"Kale, frozen, cooked, no added fat",3.11,25.88,1.72,0.71
"Kale, canned, cooked, no added fat",1.64,11.18,0.79,0.18
"Kale, NS as to form, cooked",3.41,51.11,2.26,3.18
"Kale, fresh, cooked, fat added",3.41,51.11,2.26,3.18
"Kale, frozen, cooked, fat added",2.94,37.71,1.63,2.13
"Lambsquarter, cooked",2.62,29.19,1.68,1.74
"Mustard greens, raw",8.34,48.21,5.11,0.75
"Mustard greens, fresh, cooked, no added fat",3.58,20.71,2.19,0.32
"Mustard greens, frozen, cooked, no added fat",1.88,11.52,1.37,0.15
"Mustard greens, canned, cooked, no added fat",1.69,11.52,0.82,0.18
"Mustard greens, NS as to form, cooked",3.25,35.33,1.99,2.12
"Mustard greens, fresh, cooked, fat added",3.25,35.33,1.99,2.12
"Mustard greens, frozen, cooked, fat added",1.78,24.12,1.3,1.64
"Poke greens, cooked",2.01,28.0,1.49,1.95
"Radicchio, raw",11.2,57.5,3.58,0.62
"Spinach, raw",9.64,108.0,11.4,2.48
"Spinach, fresh, cooked, no added fat",1.72,18.33,1.89,0.39
"Spinach, frozen, cooked, no added fat",2.23,15.81,1.86,0.4
"Spinach, canned, cooked, no added fat",1.58,10.7,1.31,0.23
"Spinach, fresh, cooked with oil",1.63,34.05,1.79,2.22
"Spinach, fresh, cooked with butter or margarine",1.63,29.73,1.8,1.76
"Spinach, NS as to form, cooked",1.63,31.89,1.79,1.99
"Spinach, fresh, cooked, fat added, NS as to fat type",1.63,31.89,1.79,1.99
"Spinach, frozen, cooked, fat added, NS as to fat type",2.11,25.45,1.77,1.54
"Spinach, canned, cooked, fat added, NS as to fat type",1.5,20.45,1.25,1.38
"Spinach, frozen, cooked with oil",2.11,26.82,1.76,1.7
"Spinach, frozen, cooked with butter or margarine",2.12,24.09,1.77,1.38
"Spinach, canned, cooked with oil",1.5,22.27,1.24,1.55
"Spinach, canned, cooked with butter or margarine",1.5,19.09,1.25,1.22
"Spinach, creamed",2.98,44.5,1.26,3.09
Spinach souffle,7.13,128.0,5.72,8.64
Spinach and cheese casserole,4.96,64.5,3.51,3.73
Palak Paneer,1.97,50.0,2.62,3.53
Channa Saag,3.59,36.33,1.67,1.77
"Taro leaves, cooked",4.65,45.33,3.46,2.34
"Turnip greens, fresh, cooked, no added fat",3.0,13.79,0.79,0.16
"Turnip greens, frozen, cooked, no added fat",3.01,17.58,2.02,0.25
"Turnip greens, canned, cooked, no added fat",1.69,11.52,0.82,0.18
"Turrnip greens, NS as to form, cooked",2.82,28.0,0.74,1.85
"Turnip greens, fresh, cooked, fat added",2.82,28.0,0.74,1.85
"Turnip greens, frozen, cooked, fat added",2.84,30.0,1.91,1.74
"Turnip greens, canned, cooked, fat added",1.59,24.12,0.78,1.66
"Watercress, raw",3.79,32.35,6.76,0.29
"Watercress, cooked",0.95,25.35,1.69,2.0
"Bitter melon, horseradish, jute, or radish leaves, cooked",5.05,43.75,2.73,2.14
