description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Milk, dry, not reconstituted, NS as to fat content",40.61,282.81,28.25,0.6
"Milk, dry, not reconstituted, fat free (skim)",76.44,532.35,53.18,1.13
"Whey, sweet, dry",930.75,4412.5,161.62,13.38
"Cocoa powder, not reconstituted",1158.0,4560.0,392.0,274.0
"Chocolate beverage powder, dry mix, not reconstituted",902.8,4000.0,45.5,22.7
"Chocolate beverage powder, light, dry mix, not reconstituted",683.1,3500.0,90.9,45.0
"Milk, malted, dry mix, not reconstituted",1690.18,6763.64,0.0,0.0
"Strawberry beverage powder, dry mix, not reconstituted",991.0,3890.0,1.0,2.0
"Cream, NS as to light, heavy, or half and half",1.79,54.58,1.3,4.79
"Cream, light",1.52,81.25,1.23,7.96
"Cream, half and half",1.79,54.58,1.3,4.79
"Cream, half and half, flavored",1.88,54.17,1.28,4.7
"Cream, half and half, fat free",3.75,24.58,1.08,0.58
"Cream, heavy",1.18,141.67,1.18,15.03
"Cream, whipped",21.48,857.5,6.68,84.85
"Coffee creamer, NFS",4.74,56.67,0.42,4.15
"Coffee creamer, liquid",4.74,56.67,0.42,4.15
"Coffee creamer, liquid, flavored",14.61,104.58,0.29,5.62
"Coffee creamer, liquid, fat free",3.79,29.58,0.33,1.46
"Coffee creamer, liquid, fat free, flavored",13.22,64.17,0.25,1.12
"Coffee creamer, liquid, fat free, sugar free, flavored",3.79,29.58,0.33,1.46
"Coffee creamer, liquid, sugar free, flavored",3.79,29.58,0.33,1.46
"Coffee creamer, powder",63.07,562.77,2.64,35.02
"Coffee creamer, powder, flavored",80.23,512.77,0.72,22.84
"Coffee creamer, powder, fat free",78.09,458.51,2.02,16.7
"Coffee creamer,powder, fat free, flavored",78.09,458.51,2.02,16.7
"Coffee creamer,powder, sugar free, flavored",63.07,562.77,2.64,35.02
"Coffee creamer, soy, liquid",4.74,56.67,0.42,4.15
Whipped topping,30.73,424.0,1.67,33.75
"Whipped topping, fat free",31.47,298.67,4.0,17.47
"Whipped topping, sugar free",31.47,298.67,4.0,17.47
"Sour cream, regular",30.87,1320.0,16.27,129.0
"Sour cream, light",47.33,906.67,23.33,70.67
"Sour cream, fat free",104.0,493.33,20.67,0.0
"Sour cream, imitation",44.2,1386.67,16.0,130.13
"Dip, NFS",23.27,2886.67,14.93,305.6
"Chipotle dip, regular",18.0,2846.67,11.27,304.93
"Chipotle dip, light",88.0,1300.0,12.13,101.0
"Onion dip, regular",23.73,2313.33,12.67,241.93
"Onion dip, light",79.13,1106.67,13.33,82.4
"Ranch dip, regular",23.27,2886.67,14.93,305.6
"Ranch dip, light",93.0,1340.0,15.67,101.67
"Spinach dip, regular",20.6,2306.67,14.07,242.33
"Spinach dip, light",76.13,1100.0,14.67,82.73
"Vegetable dip, regular",20.8,2866.67,12.8,305.2
"Vegetable dip, light",90.67,1320.0,13.6,101.27
"Ice cream, NFS",19.53,163.7,2.64,8.37
"Ice cream, vanilla",17.48,153.33,2.59,8.15
"Ice cream, vanilla, with additional ingredients",21.79,172.86,2.62,8.4
"Ice cream, chocolate",20.89,160.0,2.81,8.15
"Ice cream, chocolate, with additional ingredients",24.56,177.86,2.81,8.4
"Ice cream, soft serve, vanilla",16.83,102.86,2.73,2.76
"Ice cream, soft serve, chocolate",14.69,106.86,2.86,4.11
"Gelato, vanilla",12.74,142.29,2.0,9.26
"Gelato, chocolate",11.3,143.43,2.7,9.7
"Ice cream bar, vanilla",49.49,477.33,2.81,33.68
"Ice cream bar, vanilla, chocolate coated",32.67,441.33,5.47,32.13
Ice cream candy bar,61.8,646.0,8.8,40.4
"Ice cream bar, chocolate",33.56,438.67,5.88,31.85
"Ice cream sandwich, vanilla",47.84,352.0,5.71,15.73
"Ice cream sandwich, chocolate",52.44,360.0,6.0,15.73
Ice cream cookie sandwich,57.8,422.67,6.15,18.81
"Ice cream cone, scooped, vanilla",20.66,172.0,2.94,8.67
"Ice cream cone, scooped, vanilla, waffle cone",10.65,85.49,1.47,4.15
"Ice cream cone, NFS",22.78,183.2,3.0,8.9
"Ice cream cone, scooped, chocolate",24.18,179.2,3.18,8.67
"Ice cream cone, scooped, chocolate, waffle cone",12.35,89.02,1.58,4.15
"Ice cream cone, soft serve, vanilla",25.15,151.2,3.93,3.93
"Ice cream cone, soft serve, chocolate",22.26,156.8,4.1,5.74
"Ice cream cone, soft serve, vanilla, waffle cone",12.81,75.69,1.95,1.87
"Ice cream cone, soft serve, chocolate, waffle cone",11.43,78.43,2.03,2.74
"Ice cream cone, vanilla, prepackaged",36.19,372.63,5.48,23.03
"Ice cream cone, chocolate, prepackaged",36.44,371.58,5.63,22.95
"Ice cream soda, flavors other than chocolate",5.84,35.42,0.38,1.21
"Ice cream soda, chocolate",6.35,36.25,0.42,1.21
